Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,-6.69291300,0.07874016
0.03840000,3.14960600,3.22834600
0.10240000,-3.93700800,3.22834600
0.16640000,-7.08661400,3.30708700
0.23039999,0.39370070,3.30708700
0.29439999,-0.39370070,3.30708700
0.35839999,-11.02362000,3.30708700
0.42239999,-3.14960600,3.30708700
0.48639999,-5.90551100,3.30708700
0.55039999,-5.11811000,3.22834600
0.61439998,-8.26771600,3.22834600
0.67839998,-3.14960600,3.22834600
0.74239998,-9.44881800,3.22834600
0.80639998,-8.66141700,3.22834600
0.87039998,-3.93700800,3.22834600
0.93439997,-5.51181100,3.22834600
0.99839997,-4.72440900,3.22834600
1.06239997,-3.14960600,3.22834600
1.12639997,-0.39370070,3.22834600
1.19039997,-7.48031400,3.22834600
1.25439997,-1.96850400,3.22834600
1.31839996,-6.29921200,3.22834600
1.38239996,-3.54330700,3.22834600
1.44639996,-6.69291300,3.22834600
1.51039996,0.78740150,3.22834600
1.57439996,-6.29921200,3.22834600
1.63839995,-3.93700800,3.22834600
1.70239995,-3.54330700,3.22834600
1.76639995,-3.93700800,3.22834600
1.83039995,-8.26771600,3.30708700
1.89439995,-1.57480300,3.22834600
1.95839995,-5.11811000,3.22834600
2.02239994,-3.93700800,3.30708700
2.08639994,-0.39370070,3.30708700
2.15039994,-2.36220500,3.22834600
2.21439994,-2.75590500,3.30708700
2.27839994,-3.93700800,3.30708700
2.34239993,1.18110200,3.22834600
2.40639993,-6.69291300,3.22834600
2.47039993,0.00000000,3.22834600
2.53439993,-3.14960600,3.22834600
2.59839993,0.78740150,3.30708700
2.66239993,-5.11811000,3.30708700
2.72639992,1.18110200,3.22834600
2.79039992,-4.33070900,3.22834600
2.85439992,-3.14960600,3.22834600
2.91839992,-1.96850400,3.22834600
2.98239992,-1.18110200,3.30708700
3.04639991,-3.93700800,3.30708700
3.11039991,-2.36220500,3.30708700
3.17439991,-0.78740150,3.30708700
3.23839991,-8.26771600,3.30708700
3.30239991,-3.54330700,3.30708700
3.36639991,-3.54330700,3.22834600
3.43039990,-5.11811000,3.22834600
3.49439990,-6.69291300,3.30708700
3.55839990,1.57480300,3.22834600
3.62239990,-7.08661400,3.22834600
3.68639990,-1.57480300,3.22834600
3.75039990,-1.57480300,3.22834600
3.81439989,-2.75590500,3.22834600
3.87839989,-7.87401500,3.30708700
3.94239989,1.18110200,3.22834600
4.00639989,-3.54330700,3.30708700
4.07039989,-3.93700800,3.22834600
4.13439988,1.57480300,3.22834600
4.19839988,-1.96850400,3.30708700
4.26239988,-3.14960600,3.30708700
4.32639988,-2.75590500,3.22834600
4.39039988,-0.39370070,3.22834600
4.45439988,-7.87401500,3.30708700
4.51839987,2.36220500,3.30708700
4.58239987,-3.14960600,3.30708700
4.64639987,-3.14960600,3.30708700
4.71039987,-3.93700800,3.30708700
4.77439987,1.18110200,3.22834600
4.83839986,-5.90551100,3.30708700
4.90239986,-2.36220500,3.30708700
4.96639986,-1.57480300,3.30708700
5.03039986,-1.57480300,3.30708700
5.09439986,-2.75590500,3.30708700
5.15839986,0.39370070,3.30708700
5.22239985,-1.96850400,3.30708700
5.28639985,-3.14960600,3.30708700
5.35039985,-1.18110200,3.30708700
5.41439985,-2.36220500,3.22834600
5.47839985,-3.14960600,3.30708700
5.54239984,-4.33070900,3.30708700
5.60639984,3.14960600,3.30708700
5.67039984,-4.33070900,3.30708700
5.73439984,-1.18110200,3.22834600
5.79839984,-3.93700800,3.30708700
5.86239984,-2.36220500,3.30708700
5.92639983,-9.44881800,3.30708700
5.99039983,-0.39370070,3.30708700
6.05439983,-4.72440900,3.30708700
6.11839983,-5.51181100,3.30708700
6.18239983,-1.57480300,3.30708700
6.24639982,-1.96850400,3.30708700
6.31039982,-6.69291300,3.30708700
6.37439982,-3.14960600,3.30708700
6.43839982,0.39370070,3.30708700
6.50239982,-7.48031400,3.30708700
6.56639982,-2.75590500,3.22834600
6.63039981,-0.78740150,3.22834600
6.69439981,-2.75590500,3.30708700
6.75839981,-3.93700800,3.22834600
6.82239981,2.75590500,3.22834600
6.88639981,-5.51181100,3.22834600
6.95039980,-2.36220500,3.30708700
7.01439980,-1.96850400,3.30708700
7.07839980,-0.39370070,3.30708700
7.14239980,-5.90551100,3.30708700
7.20639980,1.18110200,3.30708700
7.27039980,-2.75590500,3.30708700
7.33439979,-4.72440900,3.30708700
7.39839979,-2.75590500,3.30708700
7.46239979,-2.36220500,3.30708700
7.52639979,-3.93700800,3.30708700
7.59039979,-3.54330700,3.30708700
7.65439978,3.14960600,3.30708700
7.71839978,-5.11811000,3.22834600
7.78239978,0.00000000,3.30708700
7.84639978,-2.36220500,3.30708700
7.91039978,-0.39370070,3.30708700
7.97439978,-7.08661400,3.30708700
8.03839977,1.57480300,3.30708700
8.10239977,-3.93700800,3.30708700
8.16639977,-2.36220500,3.30708700
8.23039977,-0.39370070,3.30708700
8.29439977,0.00000000,3.30708700
8.35839976,-5.51181100,3.30708700
8.42239976,-1.96850400,3.30708700
8.48639976,-2.36220500,3.30708700
8.55039976,-6.69291300,3.30708700
8.61439976,-3.14960600,3.30708700
8.67839976,-2.75590500,3.30708700
8.74239975,-3.54330700,3.30708700
8.80639975,-5.90551100,3.30708700
8.87039975,-1.57480300,3.30708700
8.93439975,-7.87401500,3.30708700
8.99839975,-1.96850400,3.30708700
9.06239974,-3.93700800,3.30708700
9.12639974,-0.39370070,3.30708700
9.19039974,-5.51181100,3.30708700
9.25439974,1.18110200,3.30708700
9.31839974,-2.75590500,3.30708700
9.38239974,-2.36220500,3.30708700
9.44639973,-3.14960600,3.30708700
9.51039973,-1.57480300,3.30708700
9.57439973,-1.96850400,3.30708700
9.63839973,-2.75590500,3.30708700
9.70239973,1.96850400,3.30708700
9.76639972,-3.14960600,3.30708700
9.83039972,-0.39370070,3.30708700
9.89439972,-1.57480300,3.30708700
9.95839972,-1.18110200,3.30708700
10.02239972,-6.69291300,3.30708700
10.08639972,1.18110200,3.30708700
10.15039971,-2.36220500,3.30708700
10.21439971,-1.96850400,3.30708700
10.27839971,-1.18110200,3.30708700
10.34239971,2.75590500,3.30708700
10.40639971,-5.11811000,3.30708700
10.47039970,0.78740150,3.30708700
10.53439970,-0.78740150,3.30708700
10.59839970,-3.93700800,3.30708700
10.66239970,-1.18110200,3.30708700
10.72639970,3.14960600,3.30708700
10.79039970,-2.36220500,3.30708700
10.85439969,-3.14960600,3.30708700
10.91839969,3.93700800,3.30708700
10.98239969,-5.51181100,3.30708700
11.04639969,-1.57480300,3.30708700
11.11039969,-2.36220500,3.30708700
11.17439969,-1.18110200,3.30708700
11.23839968,-6.69291300,3.30708700
11.30239968,2.36220500,3.30708700
11.36639968,-5.11811000,3.30708700
11.43039968,-5.11811000,3.30708700
11.49439968,-2.75590500,3.30708700
11.55839967,-2.75590500,3.30708700
11.62239967,-6.29921200,3.30708700
11.68639967,-1.57480300,3.30708700
11.75039967,-0.39370070,3.30708700
11.81439967,-2.36220500,3.30708700
11.87839967,-2.36220500,3.30708700
11.94239966,-2.36220500,3.30708700
12.00639966,-2.75590500,3.30708700
12.07039966,-5.51181100,3.30708700
12.13439966,1.18110200,3.30708700
12.19839966,-3.54330700,3.30708700
12.26239965,-0.78740150,3.30708700
12.32639965,-2.36220500,3.30708700
12.39039965,1.57480300,3.30708700
12.45439965,-6.69291300,3.30708700
12.51839965,-0.78740150,3.30708700
12.58239965,-3.14960600,3.30708700
12.64639964,-2.75590500,3.30708700
12.71039964,-3.93700800,3.30708700
12.77439964,0.39370070,3.30708700
12.83839964,-2.75590500,3.30708700
12.90239964,-4.33070900,3.30708700
12.96639963,1.96850400,3.30708700
13.03039963,-5.90551100,3.30708700
13.09439963,-3.93700800,3.30708700
13.15839963,-2.36220500,3.30708700
13.22239963,0.39370070,3.30708700
13.28639963,-6.69291300,3.30708700
13.35039962,0.78740150,3.30708700
13.41439962,-3.54330700,3.30708700
13.47839962,-3.93700800,3.30708700
13.54239962,-5.11811000,3.30708700
13.60639962,-0.39370070,3.30708700
13.67039961,-8.26771600,3.30708700
13.73439961,-2.75590500,3.30708700
13.79839961,-2.36220500,3.30708700
13.86239961,-5.11811000,3.22834600
13.92639961,-8.26771600,3.30708700
13.99039961,-4.33070900,3.30708700
14.05439960,-6.69291300,3.30708700
14.11839960,-9.84251900,3.30708700
14.18239960,-3.54330700,3.30708700
14.24639960,-7.48031400,3.30708700
14.31039960,-5.51181100,3.30708700
14.37439959,-6.29921200,3.30708700
14.43839959,-1.96850400,3.30708700
14.50239959,-11.81102000,3.30708700
14.56639959,-3.14960600,3.30708700
14.63039959,-6.69291300,3.30708700
14.69439959,-6.29921200,3.30708700
14.75839958,-7.48031400,3.30708700
14.82239958,-1.57480300,3.30708700
14.88639958,-6.69291300,3.30708700
14.95039958,-5.51181100,3.30708700
15.01439958,-2.75590500,3.30708700
15.07839957,-7.87401500,3.30708700
15.14239957,-6.29921200,3.30708700
15.20639957,-2.75590500,3.30708700
15.27039957,-4.72440900,3.30708700
15.33439957,-8.66141700,3.30708700
15.39839957,-1.96850400,3.30708700
15.46239956,-7.48031400,3.30708700
15.52639956,-5.11811000,3.30708700
15.59039956,-7.48031400,3.30708700
15.65439956,-3.54330700,3.30708700
15.71839956,-10.62992000,3.30708700
15.78239955,-1.96850400,3.30708700
15.84639955,-5.90551100,3.30708700
15.91039955,-5.11811000,3.30708700
15.97439955,-6.69291300,3.30708700
16.03839955,-4.33070900,3.30708700
16.10239955,-7.87401500,3.30708700
16.16639954,-7.48031400,3.30708700
16.23039954,-4.72440900,3.30708700
16.29439954,-7.08661400,3.30708700
16.35839954,-4.33070900,3.30708700
16.42239954,-8.26771600,3.30708700
16.48639953,-3.54330700,3.30708700
16.55039953,-11.02362000,3.30708700
16.61439953,-6.69291300,3.30708700
16.67839953,-9.44881800,3.30708700
16.74239953,-7.48031400,3.30708700
16.80639953,-10.62992000,3.30708700
16.87039952,-3.14960600,3.30708700
16.93439952,-10.62992000,3.22834600
16.99839952,-8.26771600,3.30708700
17.06239952,-8.66141700,3.30708700
17.12639952,-7.87401500,3.30708700
17.19039951,-10.62992000,3.30708700
17.25439951,-4.33070900,3.30708700
17.31839951,-7.08661400,3.30708700
17.38239951,-9.44881800,3.30708700
17.44639951,-1.96850400,3.30708700
17.51039951,-6.29921200,3.30708700
17.57439950,-9.44881800,3.30708700
17.63839950,-7.87401500,3.30708700
17.70239950,-2.36220500,3.30708700
17.76639950,-12.59842000,3.30708700
17.83039950,-2.36220500,3.30708700
17.89439949,-4.33070900,3.30708700
17.95839949,-7.08661400,3.30708700
18.02239949,-9.44881800,3.30708700
18.08639949,-3.93700800,3.30708700
18.15039949,-11.41732000,3.30708700
18.21439949,-8.66141700,3.30708700
18.27839948,-4.33070900,3.30708700
18.34239948,-7.48031400,3.30708700
18.40639948,-7.87401500,3.30708700
18.47039948,-4.33070900,3.30708700
18.53439948,-3.93700800,3.30708700
18.59839948,-10.62992000,3.30708700
18.66239947,-3.93700800,3.30708700
18.72639947,-9.05511800,3.30708700
18.79039947,-7.48031400,3.30708700
18.85439947,-7.48031400,3.30708700
18.91839947,-1.57480300,3.30708700
18.98239946,-9.84251900,3.30708700
19.04639946,-5.11811000,3.30708700
19.11039946,-7.08661400,3.30708700
19.17439946,-6.69291300,3.30708700
19.23839946,-11.81102000,3.30708700
19.30239946,-4.33070900,3.30708700
19.36639945,-9.05511800,3.30708700
19.43039945,-9.05511800,3.30708700
19.49439945,-5.90551100,3.30708700
19.55839945,-9.05511800,3.30708700
19.62239945,-9.05511800,3.30708700
19.68639944,-8.66141700,3.30708700
19.75039944,-5.51181100,3.30708700
19.81439944,-12.20472000,3.30708700
19.87839944,-3.93700800,3.30708700
19.94239944,-7.87401500,3.30708700
20.00639944,-5.90551100,3.30708700
20.07039943,-9.84251900,3.30708700
20.13439943,-3.54330700,3.30708700
20.19839943,-9.84251900,3.30708700
20.26239943,-7.87401500,3.30708700
20.32639943,-5.90551100,3.30708700
20.39039942,-5.11811000,3.30708700
20.45439942,-8.26771600,3.30708700
20.51839942,-4.33070900,3.30708700
20.58239942,-5.11811000,3.30708700
20.64639942,-9.84251900,3.30708700
20.71039942,-7.08661400,3.30708700
20.77439941,-7.08661400,3.30708700
20.83839941,-7.48031400,3.30708700
20.90239941,-8.26771600,3.30708700
20.96639941,-2.36220500,3.30708700
21.03039941,-9.44881800,3.30708700
21.09439940,-5.51181100,3.30708700
21.15839940,-7.08661400,3.30708700
21.22239940,-5.11811000,3.30708700
21.28639940,-11.41732000,3.30708700
21.35039940,-1.57480300,3.30708700
21.41439940,-5.90551100,3.30708700
21.47839939,-7.48031400,3.30708700
21.54239939,-4.33070900,3.30708700
21.60639939,-5.11811000,3.30708700
21.67039939,-8.66141700,3.30708700
