Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,-4.72440900,0.07874016
0.03840000,-10.62992000,3.22834600
0.10240000,-6.29921200,3.22834600
0.16640000,-7.48031400,3.22834600
0.23039999,-9.05511800,3.22834600
0.29439999,-9.05511800,3.22834600
0.35839999,-2.36220500,3.22834600
0.42239999,-10.23622000,3.22834600
0.48639999,-3.14960600,3.22834600
0.55039999,-2.36220500,3.22834600
0.61439998,-3.93700800,3.22834600
0.67839998,-8.26771600,3.22834600
0.74239998,0.00000000,3.22834600
0.80639998,-6.69291300,3.22834600
0.87039998,-5.11811000,3.22834600
0.93439997,-2.75590500,3.22834600
0.99839997,-1.96850400,3.30708700
1.06239997,-5.90551100,3.22834600
1.12639997,-2.36220500,3.22834600
1.19039997,-4.33070900,3.22834600
1.25439997,-9.05511800,3.30708700
1.31839996,-2.75590500,3.22834600
1.38239996,-4.33070900,3.22834600
1.44639996,-3.93700800,3.22834600
1.51039996,-6.69291300,3.22834600
1.57439996,1.96850400,3.30708700
1.63839995,-6.69291300,3.22834600
1.70239995,-0.78740150,3.22834600
1.76639995,-2.36220500,3.22834600
1.83039995,-1.18110200,3.22834600
1.89439995,-5.51181100,3.22834600
1.95839995,3.93700800,3.22834600
2.02239994,-1.18110200,3.22834600
2.08639994,-1.96850400,3.22834600
2.15039994,1.57480300,3.22834600
2.21439994,0.00000000,3.22834600
2.27839994,-4.33070900,3.22834600
2.34239993,-2.75590500,3.22834600
2.40639993,-1.18110200,3.22834600
2.47039993,-6.29921200,3.30708700
2.53439993,-1.18110200,3.22834600
2.59839993,-3.54330700,3.22834600
2.66239993,-4.33070900,3.22834600
2.72639992,-8.66141700,3.22834600
2.79039992,-1.18110200,3.22834600
2.85439992,-6.69291300,3.22834600
2.91839992,-2.75590500,3.30708700
2.98239992,-4.33070900,3.22834600
3.04639991,0.00000000,3.22834600
3.11039991,-5.11811000,3.22834600
3.17439991,-1.57480300,3.22834600
3.23839991,-3.14960600,3.22834600
3.30239991,-2.75590500,3.22834600
3.36639991,-2.75590500,3.22834600
3.43039990,-0.78740150,3.30708700
3.49439990,-1.57480300,3.22834600
3.55839990,-5.51181100,3.30708700
3.62239990,2.36220500,3.30708700
3.68639990,-4.72440900,3.30708700
3.75039990,-4.33070900,3.30708700
3.81439989,-5.11811000,3.22834600
3.87839989,-1.57480300,3.30708700
3.94239989,-8.66141700,3.22834600
4.00639989,-0.78740150,3.30708700
4.07039989,-4.33070900,3.30708700
4.13439988,-5.11811000,3.30708700
4.19839988,-3.93700800,3.22834600
4.26239988,0.39370070,3.22834600
4.32639988,-7.87401500,3.30708700
4.39039988,-0.39370070,3.22834600
4.45439988,0.00000000,3.22834600
4.51839987,-3.93700800,3.22834600
4.58239987,-2.36220500,3.30708700
4.64639987,0.00000000,3.22834600
4.71039987,-3.54330700,3.30708700
4.77439987,-4.72440900,3.30708700
4.83839986,1.57480300,3.30708700
4.90239986,-7.87401500,3.30708700
4.96639986,-2.36220500,3.30708700
5.03039986,-4.33070900,3.30708700
5.09439986,-1.57480300,3.30708700
5.15839986,-9.05511800,3.30708700
5.22239985,-0.78740150,3.30708700
5.28639985,-7.87401500,3.22834600
5.35039985,-7.08661400,3.30708700
5.41439985,-7.48031400,3.22834600
5.47839985,-4.33070900,3.30708700
5.54239984,-7.48031400,3.22834600
5.60639984,-3.14960600,3.22834600
5.67039984,-3.14960600,3.22834600
5.73439984,-5.90551100,3.22834600
5.79839984,-5.11811000,3.22834600
5.86239984,-4.33070900,3.22834600
5.92639983,-2.75590500,3.22834600
5.99039983,-6.69291300,3.30708700
6.05439983,0.00000000,3.30708700
6.11839983,-4.33070900,3.22834600
6.18239983,-1.57480300,3.22834600
6.24639982,-3.93700800,3.22834600
6.31039982,-1.18110200,3.22834600
6.37439982,-8.66141700,3.30708700
6.43839982,-0.78740150,3.30708700
6.50239982,-5.51181100,3.30708700
6.56639982,-3.54330700,3.30708700
6.63039981,-5.90551100,3.30708700
6.69439981,-2.36220500,3.30708700
6.75839981,-6.29921200,3.30708700
6.82239981,-5.51181100,3.30708700
6.88639981,-2.75590500,3.22834600
6.95039980,-5.90551100,3.22834600
7.01439980,-1.18110200,3.30708700
7.07839980,-2.75590500,3.30708700
7.14239980,0.39370070,3.30708700
7.20639980,-6.29921200,3.30708700
7.27039980,0.39370070,3.30708700
7.33439979,-3.54330700,3.22834600
7.39839979,-2.75590500,3.30708700
7.46239979,-4.72440900,3.30708700
7.52639979,0.39370070,3.22834600
7.59039979,-5.90551100,3.30708700
7.65439978,-2.36220500,3.30708700
7.71839978,-2.75590500,3.30708700
7.78239978,-4.33070900,3.30708700
7.84639978,-7.87401500,3.30708700
7.91039978,-1.96850400,3.30708700
7.97439978,-7.87401500,3.30708700
8.03839977,-9.84251900,3.30708700
8.10239977,-2.36220500,3.30708700
8.16639977,-5.90551100,3.22834600
8.23039977,-5.90551100,3.30708700
8.29439977,-5.90551100,3.22834600
8.35839976,-1.57480300,3.30708700
8.42239976,-11.41732000,3.22834600
8.48639976,0.00000000,3.22834600
8.55039976,-5.11811000,3.22834600
8.61439976,-4.72440900,3.30708700
8.67839976,-3.54330700,3.22834600
8.74239975,1.57480300,3.22834600
8.80639975,-7.48031400,3.30708700
8.87039975,-3.14960600,3.30708700
8.93439975,-2.75590500,3.30708700
8.99839975,-6.29921200,3.30708700
9.06239974,-3.93700800,3.30708700
9.12639974,-1.96850400,3.30708700
9.19039974,-4.72440900,3.30708700
9.25439974,-6.29921200,3.30708700
9.31839974,-0.39370070,3.22834600
9.38239974,-5.90551100,3.30708700
9.44639973,-4.33070900,3.30708700
9.51039973,-3.54330700,3.30708700
9.57439973,0.78740150,3.30708700
9.63839973,-3.93700800,3.30708700
9.70239973,2.75590500,3.30708700
9.76639972,-0.78740150,3.30708700
9.83039972,1.96850400,3.30708700
9.89439972,-3.14960600,3.30708700
9.95839972,3.14960600,3.30708700
10.02239972,-2.75590500,3.30708700
10.08639972,-1.18110200,3.30708700
10.15039971,1.96850400,3.30708700
10.21439971,0.78740150,3.30708700
10.27839971,-2.75590500,3.30708700
10.34239971,-1.18110200,3.30708700
10.40639971,0.78740150,3.30708700
10.47039970,-7.87401500,3.30708700
10.53439970,-2.36220500,3.30708700
10.59839970,-4.72440900,3.30708700
10.66239970,-3.93700800,3.30708700
10.72639970,-6.69291300,3.30708700
10.79039970,0.00000000,3.30708700
10.85439969,-7.87401500,3.30708700
10.91839969,-3.54330700,3.30708700
10.98239969,-3.14960600,3.30708700
11.04639969,-1.57480300,3.22834600
11.11039969,-7.87401500,3.30708700
11.17439969,0.39370070,3.22834600
11.23839968,-0.78740150,3.30708700
11.30239968,-3.54330700,3.30708700
11.36639968,-1.57480300,3.30708700
11.43039968,-1.18110200,3.30708700
11.49439968,-5.51181100,3.30708700
11.55839967,-3.54330700,3.30708700
11.62239967,1.18110200,3.30708700
11.68639967,-5.90551100,3.30708700
11.75039967,-0.39370070,3.30708700
11.81439967,-1.96850400,3.30708700
11.87839967,0.39370070,3.30708700
11.94239966,-9.44881800,3.30708700
12.00639966,0.39370070,3.30708700
12.07039966,-7.87401500,3.30708700
12.13439966,-4.33070900,3.30708700
12.19839966,-2.36220500,3.30708700
12.26239965,-0.78740150,3.30708700
12.32639965,-5.51181100,3.30708700
12.39039965,1.57480300,3.30708700
12.45439965,-0.78740150,3.30708700
12.51839965,-6.29921200,3.30708700
12.58239965,0.78740150,3.30708700
12.64639964,-0.78740150,3.30708700
12.71039964,-3.14960600,3.30708700
12.77439964,-1.96850400,3.30708700
12.83839964,1.18110200,3.30708700
12.90239964,-7.08661400,3.30708700
12.96639963,-1.96850400,3.30708700
13.03039963,-4.33070900,3.30708700
13.09439963,-5.51181100,3.30708700
13.15839963,-9.05511800,3.30708700
13.22239963,-2.75590500,3.30708700
13.28639963,-8.66141700,3.30708700
13.35039962,-7.08661400,3.30708700
13.41439962,-9.84251900,3.30708700
13.47839962,-7.48031400,3.30708700
13.54239962,-11.02362000,3.30708700
13.60639962,-8.26771600,3.30708700
13.67039961,-7.08661400,3.30708700
13.73439961,-9.44881800,3.30708700
13.79839961,-6.29921200,3.30708700
13.86239961,-9.05511800,3.22834600
13.92639961,-5.51181100,3.22834600
13.99039961,-12.20472000,3.30708700
14.05439960,-4.33070900,3.30708700
14.11839960,-8.66141700,3.30708700
14.18239960,-6.29921200,3.22834600
14.24639960,-6.69291300,3.30708700
14.31039960,-1.57480300,3.30708700
14.37439959,-8.66141700,3.30708700
14.43839959,-2.75590500,3.30708700
14.50239959,-6.69291300,3.30708700
14.56639959,-9.05511800,3.30708700
14.63039959,-9.05511800,3.30708700
14.69439959,-4.72440900,3.30708700
14.75839958,-9.84251900,3.30708700
14.82239958,-7.87401500,3.30708700
14.88639958,-4.33070900,3.30708700
14.95039958,-8.26771600,3.30708700
15.01439958,-5.51181100,3.30708700
15.07839957,-5.11811000,3.22834600
15.14239957,-3.93700800,3.30708700
15.20639957,-7.87401500,3.30708700
15.27039957,0.39370070,3.30708700
15.33439957,-7.08661400,3.30708700
15.39839957,-4.72440900,3.30708700
15.46239956,-6.69291300,3.30708700
15.52639956,-2.36220500,3.30708700
15.59039956,-10.62992000,3.30708700
15.65439956,-5.11811000,3.30708700
15.71839956,-5.90551100,3.30708700
15.78239955,-8.26771600,3.30708700
15.84639955,-7.87401500,3.30708700
15.91039955,-6.69291300,3.22834600
15.97439955,-11.02362000,3.30708700
16.03839955,-12.59842000,3.22834600
16.10239955,-5.90551100,3.30708700
16.16639954,-12.99213000,3.30708700
16.23039954,-11.81102000,3.30708700
16.29439954,-7.87401500,3.30708700
16.35839954,-6.69291300,3.30708700
16.42239954,-12.20472000,3.22834600
16.48639953,-3.14960600,3.30708700
16.55039953,-10.23622000,3.22834600
16.61439953,-7.08661400,3.30708700
16.67839953,-5.90551100,3.30708700
16.74239953,-2.75590500,3.30708700
16.80639953,-9.44881800,3.30708700
16.87039952,-2.75590500,3.30708700
16.93439952,-4.72440900,3.30708700
16.99839952,-6.69291300,3.30708700
17.06239952,-6.29921200,3.30708700
17.12639952,-6.69291300,3.30708700
17.19039951,-7.48031400,3.30708700
17.25439951,-9.05511800,3.30708700
17.31839951,-4.33070900,3.30708700
17.38239951,-9.84251900,3.30708700
17.44639951,-5.90551100,3.30708700
17.51039951,-9.44881800,3.30708700
17.57439950,-3.14960600,3.30708700
17.63839950,-11.41732000,3.30708700
17.70239950,-3.93700800,3.30708700
17.76639950,-5.90551100,3.22834600
17.83039950,-3.93700800,3.30708700
17.89439949,-7.48031400,3.30708700
17.95839949,-3.14960600,3.30708700
18.02239949,-7.48031400,3.30708700
18.08639949,-8.66141700,3.30708700
18.15039949,-5.11811000,3.30708700
18.21439949,-6.69291300,3.30708700
18.27839948,-9.05511800,3.30708700
18.34239948,-4.33070900,3.30708700
18.40639948,-3.54330700,3.30708700
18.47039948,-12.59842000,3.30708700
18.53439948,-5.90551100,3.30708700
18.59839948,-9.44881800,3.30708700
18.66239947,-10.62992000,3.30708700
18.72639947,-12.99213000,3.30708700
18.79039947,-4.72440900,3.30708700
18.85439947,-14.56693000,3.22834600
18.91839947,-5.90551100,3.30708700
18.98239946,-6.69291300,3.30708700
19.04639946,-9.05511800,3.22834600
19.11039946,-10.23622000,3.30708700
19.17439946,-3.93700800,3.22834600
19.23839946,-7.48031400,3.30708700
19.30239946,-9.05511800,3.30708700
19.36639945,-2.75590500,3.22834600
19.43039945,-7.87401500,3.22834600
19.49439945,-6.69291300,3.30708700
19.55839945,-6.69291300,3.30708700
19.62239945,-4.33070900,3.30708700
19.68639944,-11.02362000,3.30708700
19.75039944,-2.36220500,3.22834600
19.81439944,-5.51181100,3.30708700
19.87839944,-6.29921200,3.30708700
19.94239944,-9.05511800,3.22834600
20.00639944,-3.54330700,3.30708700
20.07039943,-11.02362000,3.30708700
20.13439943,-9.05511800,3.30708700
20.19839943,-8.26771600,3.30708700
20.26239943,-7.08661400,3.22834600
20.32639943,-9.84251900,3.30708700
20.39039942,-2.75590500,3.30708700
20.45439942,-6.29921200,3.30708700
20.51839942,-9.05511800,3.30708700
20.58239942,-3.14960600,3.30708700
20.64639942,-7.48031400,3.30708700
20.71039942,-7.48031400,3.30708700
20.77439941,-9.05511800,3.30708700
20.83839941,-2.36220500,3.30708700
20.90239941,-10.62992000,3.30708700
20.96639941,-3.93700800,3.30708700
21.03039941,-8.66141700,3.30708700
21.09439940,-6.69291300,3.30708700
21.15839940,-11.02362000,3.30708700
21.22239940,-6.29921200,3.30708700
21.28639940,-9.84251900,3.30708700
21.35039940,-9.44881800,3.30708700
21.41439940,-7.87401500,3.30708700
21.47839939,-6.29921200,3.30708700
21.54239939,-10.62992000,3.30708700
21.60639939,-10.62992000,3.30708700
21.67039939,-7.48031400,3.22834600
