Time,Channel A,Channel B
(us),(mV),(V)

-0.03022222,-0.78740150,0.00000000
0.03377778,-2.75590500,2.83464600
0.09777778,-5.51181100,3.22834600
0.16177777,-8.26771600,3.22834600
0.22577777,-6.69291300,3.22834600
0.28977777,-11.41732000,3.22834600
0.35377777,-2.75590500,3.22834600
0.41777777,-7.08661400,3.22834600
0.48177776,-5.11811000,3.22834600
0.54577776,-4.33070900,3.22834600
0.60977776,-3.14960600,3.22834600
0.67377776,-4.33070900,3.22834600
0.73777776,-3.54330700,3.22834600
0.80177776,-1.96850400,3.22834600
0.86577775,-6.29921200,3.22834600
0.92977775,-1.57480300,3.30708700
0.99377775,-3.54330700,3.30708700
1.05777775,-1.18110200,3.22834600
1.12177775,-5.51181100,3.30708700
1.18577774,0.00000000,3.22834600
1.24977774,-4.33070900,3.22834600
1.31377774,-1.96850400,3.22834600
1.37777774,-4.72440900,3.22834600
1.44177774,-1.96850400,3.22834600
1.50577774,-6.69291300,3.22834600
1.56977773,-3.93700800,3.22834600
1.63377773,-4.33070900,3.30708700
1.69777773,-6.29921200,3.22834600
1.76177773,-6.29921200,3.22834600
1.82577773,-1.96850400,3.22834600
1.88977772,-2.75590500,3.22834600
1.95377772,-3.54330700,3.30708700
2.01777772,2.75590500,3.22834600
2.08177772,-4.33070900,3.22834600
2.14577772,-1.96850400,3.22834600
2.20977772,-3.54330700,3.22834600
2.27377771,-0.39370070,3.22834600
2.33777771,-7.48031400,3.22834600
2.40177771,2.75590500,3.22834600
2.46577771,-2.36220500,3.22834600
2.52977771,-2.36220500,3.30708700
2.59377770,0.00000000,3.30708700
2.65777770,0.78740150,3.22834600
2.72177770,-5.90551100,3.22834600
2.78577770,-1.96850400,3.22834600
2.84977770,-1.18110200,3.30708700
2.91377770,-6.29921200,3.30708700
2.97777769,0.00000000,3.30708700
3.04177769,-0.78740150,3.30708700
3.10577769,-1.96850400,3.22834600
3.16977769,-4.72440900,3.22834600
3.23377769,1.96850400,3.30708700
3.29777768,-5.51181100,3.22834600
3.36177768,-1.57480300,3.22834600
3.42577768,0.00000000,3.30708700
3.48977768,1.57480300,3.30708700
3.55377768,-3.54330700,3.22834600
3.61777768,0.78740150,3.22834600
3.68177767,-2.36220500,3.30708700
3.74577767,-2.75590500,3.30708700
3.80977767,-2.36220500,3.30708700
3.87377767,1.57480300,3.30708700
3.93777767,-1.96850400,3.30708700
4.00177766,-2.75590500,3.30708700
4.06577766,0.39370070,3.22834600
4.12977766,-6.29921200,3.30708700
4.19377766,-3.93700800,3.30708700
4.25777766,-4.72440900,3.30708700
4.32177766,-2.75590500,3.22834600
4.38577765,-9.05511800,3.30708700
4.44977765,-0.78740150,3.30708700
4.51377765,-6.69291300,3.22834600
4.57777765,-4.33070900,3.30708700
4.64177765,-3.14960600,3.22834600
4.70577764,-2.36220500,3.22834600
4.76977764,-7.87401500,3.22834600
4.83377764,-5.11811000,3.22834600
4.89777764,-1.96850400,3.22834600
4.96177764,-6.69291300,3.22834600
5.02577764,-3.14960600,3.30708700
5.08977763,-0.39370070,3.22834600
5.15377763,-2.75590500,3.30708700
5.21777763,-4.72440900,3.30708700
5.28177763,-0.78740150,3.22834600
5.34577763,-5.11811000,3.22834600
5.40977762,-3.93700800,3.30708700
5.47377762,-4.72440900,3.30708700
5.53777762,0.00000000,3.30708700
5.60177762,-7.87401500,3.30708700
5.66577762,-0.78740150,3.30708700
5.72977762,-3.14960600,3.22834600
5.79377761,-4.33070900,3.30708700
5.85777761,-5.51181100,3.30708700
5.92177761,0.39370070,3.22834600
5.98577761,-3.54330700,3.22834600
6.04977761,-2.36220500,3.30708700
6.11377761,2.36220500,3.22834600
6.17777760,-2.36220500,3.30708700
6.24177760,-3.54330700,3.22834600
6.30577760,-0.78740150,3.30708700
6.36977760,-0.78740150,3.30708700
6.43377760,-7.08661400,3.30708700
6.49777759,3.54330700,3.30708700
6.56177759,-0.78740150,3.30708700
6.62577759,-1.57480300,3.30708700
6.68977759,-2.36220500,3.30708700
6.75377759,-0.78740150,3.30708700
6.81777759,-8.66141700,3.30708700
6.88177758,-1.96850400,3.30708700
6.94577758,-3.14960600,3.30708700
7.00977758,-5.51181100,3.30708700
7.07377758,-4.33070900,3.30708700
7.13777758,-2.75590500,3.22834600
7.20177757,-6.29921200,3.30708700
7.26577757,-4.72440900,3.30708700
7.32977757,-1.96850400,3.30708700
7.39377757,-6.29921200,3.30708700
7.45777757,-3.54330700,3.30708700
7.52177757,-4.33070900,3.30708700
7.58577756,-1.96850400,3.30708700
7.64977756,-6.29921200,3.30708700
7.71377756,1.57480300,3.30708700
7.77777756,-4.33070900,3.22834600
7.84177756,-1.18110200,3.22834600
7.90577755,-4.72440900,3.30708700
7.96977755,0.00000000,3.30708700
8.03377755,-3.54330700,3.30708700
8.09777755,-3.14960600,3.30708700
8.16177755,-1.57480300,3.30708700
8.22577755,-3.54330700,3.30708700
8.28977754,-3.93700800,3.30708700
8.35377754,-3.14960600,3.30708700
8.41777754,-1.57480300,3.30708700
8.48177754,-5.90551100,3.30708700
8.54577754,0.00000000,3.30708700
8.60977753,-2.36220500,3.22834600
8.67377753,-1.18110200,3.30708700
8.73777753,-3.14960600,3.30708700
8.80177753,2.75590500,3.30708700
8.86577753,-6.29921200,3.30708700
8.92977753,-1.18110200,3.30708700
8.99377752,-2.36220500,3.30708700
9.05777752,-1.96850400,3.30708700
9.12177752,-2.75590500,3.30708700
9.18577752,2.75590500,3.30708700
9.24977752,-1.96850400,3.30708700
9.31377751,-2.36220500,3.30708700
9.37777751,1.96850400,3.30708700
9.44177751,-3.14960600,3.30708700
9.50577751,-1.57480300,3.30708700
9.56977751,-1.57480300,3.30708700
9.63377751,1.96850400,3.30708700
9.69777750,-5.51181100,3.30708700
9.76177750,1.57480300,3.30708700
9.82577750,-3.14960600,3.30708700
9.88977750,-1.96850400,3.30708700
9.95377750,-3.14960600,3.30708700
10.01777749,1.96850400,3.30708700
10.08177749,-3.93700800,3.30708700
10.14577749,-1.96850400,3.22834600
10.20977749,0.78740150,3.30708700
10.27377749,-3.14960600,3.30708700
10.33777749,-3.14960600,3.30708700
10.40177748,-0.78740150,3.30708700
10.46577748,-0.78740150,3.30708700
10.52977748,-5.11811000,3.30708700
10.59377748,1.96850400,3.30708700
10.65777748,-1.96850400,3.30708700
10.72177747,-2.36220500,3.30708700
10.78577747,-1.96850400,3.30708700
10.84977747,0.78740150,3.30708700
10.91377747,-8.66141700,3.30708700
10.97777747,0.00000000,3.30708700
11.04177747,-1.57480300,3.30708700
11.10577746,-1.18110200,3.30708700
11.16977746,-2.36220500,3.30708700
11.23377746,2.36220500,3.30708700
11.29777746,-3.54330700,3.30708700
11.36177746,-1.18110200,3.30708700
11.42577745,1.18110200,3.30708700
11.48977745,-3.14960600,3.30708700
11.55377745,-0.39370070,3.30708700
11.61777745,-0.78740150,3.30708700
11.68177745,1.96850400,3.30708700
11.74577745,-3.14960600,3.30708700
11.80977744,1.96850400,3.30708700
11.87377744,-1.96850400,3.30708700
11.93777744,0.39370070,3.30708700
12.00177744,-3.54330700,3.30708700
12.06577744,0.78740150,3.30708700
12.12977743,-3.14960600,3.30708700
12.19377743,-1.96850400,3.30708700
12.25777743,-2.36220500,3.30708700
12.32177743,-2.36220500,3.30708700
12.38577743,-6.69291300,3.30708700
12.44977743,-2.75590500,3.30708700
12.51377742,-2.36220500,3.30708700
12.57777742,-6.69291300,3.30708700
12.64177742,-2.36220500,3.30708700
12.70577742,-1.57480300,3.30708700
12.76977742,-4.72440900,3.30708700
12.83377741,-7.48031400,3.30708700
12.89777741,-0.78740150,3.30708700
12.96177741,-12.20472000,3.22834600
13.02577741,-3.54330700,3.30708700
13.08977741,-3.93700800,3.30708700
13.15377741,-5.51181100,3.30708700
13.21777740,-7.87401500,3.30708700
13.28177740,-0.39370070,3.22834600
13.34577740,-7.48031400,3.30708700
13.40977740,-7.87401500,3.30708700
13.47377740,-5.11811000,3.30708700
13.53777740,-6.69291300,3.30708700
13.60177739,-8.26771600,3.30708700
13.66577739,-5.51181100,3.30708700
13.72977739,-4.33070900,3.30708700
13.79377739,-9.84251900,3.30708700
13.85777739,-4.72440900,3.30708700
13.92177738,-6.69291300,3.30708700
13.98577738,-8.66141700,3.30708700
14.04977738,-8.26771600,3.30708700
14.11377738,-1.96850400,3.30708700
14.17777738,-7.48031400,3.30708700
14.24177738,-3.14960600,3.30708700
14.30577737,-5.11811000,3.30708700
14.36977737,-3.14960600,3.30708700
14.43377737,-7.48031400,3.30708700
14.49777737,-1.96850400,3.30708700
14.56177737,-5.90551100,3.30708700
14.62577736,-5.51181100,3.30708700
14.68977736,-3.54330700,3.30708700
14.75377736,-4.33070900,3.30708700
14.81777736,-7.48031400,3.30708700
14.88177736,-8.66141700,3.30708700
14.94577736,-4.33070900,3.30708700
15.00977735,-10.62992000,3.30708700
15.07377735,-5.11811000,3.30708700
15.13777735,-8.66141700,3.30708700
15.20177735,-5.90551100,3.30708700
15.26577735,-8.66141700,3.30708700
15.32977734,-3.93700800,3.30708700
15.39377734,-9.84251900,3.30708700
15.45777734,-8.26771600,3.30708700
15.52177734,-9.05511800,3.30708700
15.58577734,-7.08661400,3.22834600
15.64977734,-11.02362000,3.22834600
15.71377733,-5.51181100,3.30708700
15.77777733,-5.90551100,3.30708700
15.84177733,-9.44881800,3.30708700
15.90577733,-6.29921200,3.30708700
15.96977733,-8.66141700,3.22834600
16.03377732,-7.87401500,3.22834600
16.09777732,-9.05511800,3.30708700
16.16177732,-5.90551100,3.22834600
16.22577732,-9.84251900,3.30708700
16.28977732,-7.08661400,3.30708700
16.35377732,-9.44881800,3.30708700
16.41777731,-5.11811000,3.30708700
16.48177731,-12.59842000,3.30708700
16.54577731,-4.33070900,3.30708700
16.60977731,-6.69291300,3.22834600
16.67377731,-5.51181100,3.30708700
16.73777730,-4.33070900,3.30708700
16.80177730,-1.96850400,3.30708700
16.86577730,-6.29921200,3.30708700
16.92977730,-5.90551100,3.30708700
16.99377730,-1.96850400,3.30708700
17.05777730,-9.44881800,3.30708700
17.12177729,-5.11811000,3.30708700
17.18577729,-3.93700800,3.30708700
17.24977729,-4.33070900,3.30708700
17.31377729,-7.87401500,3.30708700
17.37777729,0.39370070,3.30708700
17.44177728,-8.66141700,3.30708700
17.50577728,-6.29921200,3.30708700
17.56977728,-5.90551100,3.30708700
17.63377728,-6.69291300,3.30708700
17.69777728,-11.41732000,3.30708700
17.76177728,-3.54330700,3.30708700
17.82577727,-9.05511800,3.30708700
17.88977727,-9.05511800,3.30708700
17.95377727,-7.87401500,3.30708700
18.01777727,-8.66141700,3.22834600
18.08177727,-10.62992000,3.30708700
18.14577726,-7.87401500,3.30708700
18.20977726,-7.48031400,3.22834600
18.27377726,-10.62992000,3.30708700
18.33777726,-6.69291300,3.22834600
18.40177726,-7.48031400,3.30708700
18.46577726,-5.90551100,3.30708700
18.52977725,-13.77953000,3.30708700
18.59377725,-3.93700800,3.30708700
18.65777725,-10.62992000,3.30708700
18.72177725,-7.48031400,3.30708700
18.78577725,-8.26771600,3.30708700
18.84977724,-3.14960600,3.30708700
18.91377724,-9.05511800,3.22834600
18.97777724,-5.51181100,3.30708700
19.04177724,-5.11811000,3.30708700
19.10577724,-8.66141700,3.22834600
19.16977724,-6.29921200,3.30708700
19.23377723,-3.93700800,3.30708700
19.29777723,-5.51181100,3.30708700
19.36177723,-7.08661400,3.30708700
19.42577723,-2.36220500,3.30708700
19.48977723,-6.69291300,3.30708700
19.55377722,-6.69291300,3.30708700
19.61777722,-7.08661400,3.30708700
19.68177722,-3.14960600,3.30708700
19.74577722,-7.87401500,3.30708700
19.80977722,0.00000000,3.30708700
19.87377722,-4.72440900,3.30708700
19.93777721,-3.54330700,3.30708700
20.00177721,-5.51181100,3.30708700
20.06577721,-1.96850400,3.30708700
20.12977721,-8.26771600,3.30708700
20.19377721,-7.08661400,3.30708700
20.25777721,-5.51181100,3.30708700
20.32177720,-7.48031400,3.30708700
20.38577720,-8.66141700,3.30708700
20.44977720,-8.26771600,3.30708700
20.51377720,-7.48031400,3.30708700
20.57777720,-14.17323000,3.30708700
20.64177719,-6.29921200,3.22834600
20.70577719,-11.41732000,3.30708700
20.76977719,-7.87401500,3.30708700
20.83377719,-8.26771600,3.30708700
20.89777719,-4.72440900,3.30708700
20.96177719,-12.59842000,3.30708700
21.02577718,-10.62992000,3.22834600
21.08977718,-7.87401500,3.22834600
21.15377718,-9.44881800,3.30708700
21.21777718,-9.84251900,3.30708700
21.28177718,-2.75590500,3.30708700
21.34577717,-8.26771600,3.22834600
21.40977717,-7.08661400,3.30708700
21.47377717,-1.96850400,3.30708700
21.53777717,-6.69291300,3.30708700
21.60177717,-8.26771600,3.30708700
21.66577717,-5.90551100,3.30708700
21.72977716,-5.11811000,3.30708700
