Time,Channel A,Channel B
(us),(mV),(V)

-0.01882353,-8.26771600,0.55118110
0.04517647,-10.62992000,3.22834600
0.10917647,-3.93700800,3.22834600
0.17317647,-6.69291300,3.22834600
0.23717646,-6.69291300,3.22834600
0.30117646,-11.02362000,3.22834600
0.36517646,-2.36220500,3.22834600
0.42917646,-8.66141700,3.22834600
0.49317646,-5.51181100,3.22834600
0.55717646,-3.93700800,3.30708700
0.62117645,-1.18110200,3.22834600
0.68517645,-7.87401500,3.22834600
0.74917645,-0.78740150,3.22834600
0.81317645,-5.51181100,3.22834600
0.87717645,-7.87401500,3.30708700
0.94117644,-5.11811000,3.22834600
1.00517644,-1.96850400,3.22834600
1.06917644,-6.29921200,3.22834600
1.13317644,-5.90551100,3.30708700
1.19717644,1.18110200,3.22834600
1.26117644,-7.87401500,3.22834600
1.32517643,-1.96850400,3.22834600
1.38917643,-2.75590500,3.22834600
1.45317643,-1.57480300,3.22834600
1.51717643,-7.87401500,3.22834600
1.58117643,3.14960600,3.22834600
1.64517642,-6.29921200,3.22834600
1.70917642,-3.54330700,3.22834600
1.77317642,-1.18110200,3.22834600
1.83717642,-1.18110200,3.30708700
1.90117642,-6.29921200,3.30708700
1.96517642,0.78740150,3.22834600
2.02917641,0.00000000,3.30708700
2.09317641,-3.14960600,3.30708700
2.15717641,0.78740150,3.30708700
2.22117641,-1.57480300,3.30708700
2.28517641,-4.33070900,3.22834600
2.34917640,-3.93700800,3.30708700
2.41317640,-1.18110200,3.30708700
2.47717640,-7.48031400,3.22834600
2.54117640,-1.96850400,3.22834600
2.60517640,-4.72440900,3.22834600
2.66917640,0.39370070,3.30708700
2.73317639,-6.29921200,3.22834600
2.79717639,0.00000000,3.22834600
2.86117639,-5.51181100,3.22834600
2.92517639,-1.57480300,3.22834600
2.98917639,-3.93700800,3.30708700
3.05317638,0.00000000,3.22834600
3.11717638,-3.93700800,3.22834600
3.18117638,-1.18110200,3.22834600
3.24517638,0.39370070,3.22834600
3.30917638,-2.36220500,3.30708700
3.37317638,-2.75590500,3.22834600
3.43717637,-1.57480300,3.22834600
3.50117637,-0.78740150,3.22834600
3.56517637,-6.29921200,3.30708700
3.62917637,1.57480300,3.30708700
3.69317637,-4.33070900,3.30708700
3.75717637,-3.54330700,3.22834600
3.82117636,-2.75590500,3.30708700
3.88517636,-1.18110200,3.30708700
3.94917636,-7.87401500,3.22834600
4.01317636,0.00000000,3.30708700
4.07717636,-2.36220500,3.22834600
4.14117635,-2.75590500,3.30708700
4.20517635,-3.54330700,3.22834600
4.26917635,1.57480300,3.30708700
4.33317635,-6.69291300,3.30708700
4.39717635,-2.36220500,3.30708700
4.46117635,-1.96850400,3.22834600
4.52517634,-6.29921200,3.30708700
4.58917634,-2.75590500,3.30708700
4.65317634,-0.78740150,3.30708700
4.71717634,-1.18110200,3.22834600
4.78117634,-6.29921200,3.30708700
4.84517633,0.78740150,3.30708700
4.90917633,-8.66141700,3.22834600
4.97317633,-4.33070900,3.30708700
5.03717633,-5.51181100,3.30708700
5.10117633,-3.54330700,3.30708700
5.16517633,-8.66141700,3.22834600
5.22917632,-2.36220500,3.30708700
5.29317632,-4.72440900,3.30708700
5.35717632,-7.48031400,3.22834600
5.42117632,-5.51181100,3.22834600
5.48517632,-1.96850400,3.22834600
5.54917631,-7.87401500,3.30708700
5.61317631,-3.93700800,3.22834600
5.67717631,-2.36220500,3.22834600
5.74117631,-5.11811000,3.22834600
5.80517631,-3.54330700,3.22834600
5.86917631,-1.96850400,3.22834600
5.93317630,-3.93700800,3.30708700
5.99717630,-7.08661400,3.22834600
6.06117630,1.96850400,3.30708700
6.12517630,-5.51181100,3.30708700
6.18917630,-2.75590500,3.30708700
6.25317629,-3.93700800,3.30708700
6.31717629,-0.39370070,3.30708700
6.38117629,-9.05511800,3.22834600
6.44517629,-0.78740150,3.30708700
6.50917629,-5.51181100,3.30708700
6.57317629,-5.11811000,3.30708700
6.63717628,-4.33070900,3.22834600
6.70117628,-0.39370070,3.30708700
6.76517628,-3.54330700,3.30708700
6.82917628,-3.93700800,3.30708700
6.89317628,-0.39370070,3.22834600
6.95717627,-5.11811000,3.22834600
7.02117627,-3.54330700,3.30708700
7.08517627,-4.72440900,3.30708700
7.14917627,-1.96850400,3.30708700
7.21317627,-5.90551100,3.30708700
7.27717627,0.39370070,3.30708700
7.34117626,-3.14960600,3.30708700
7.40517626,-1.57480300,3.30708700
7.46917626,-6.29921200,3.30708700
7.53317626,-0.39370070,3.30708700
7.59717626,-9.05511800,3.30708700
7.66117625,-4.72440900,3.30708700
7.72517625,-3.93700800,3.30708700
7.78917625,-3.93700800,3.30708700
7.85317625,-8.26771600,3.30708700
7.91717625,-3.14960600,3.22834600
7.98117625,-6.69291300,3.30708700
8.04517624,-9.44881800,3.22834600
8.10917624,-0.39370070,3.30708700
8.17317624,-5.90551100,3.22834600
8.23717624,-4.72440900,3.30708700
8.30117624,-5.51181100,3.30708700
8.36517623,0.78740150,3.30708700
8.42917623,-10.62992000,3.30708700
8.49317623,-1.18110200,3.30708700
8.55717623,-3.93700800,3.22834600
8.62117623,-4.72440900,3.30708700
8.68517623,-4.33070900,3.30708700
8.74917622,1.57480300,3.30708700
8.81317622,-6.69291300,3.30708700
8.87717622,-2.36220500,3.30708700
8.94117622,-1.96850400,3.30708700
9.00517622,-7.08661400,3.30708700
9.06917621,-7.48031400,3.30708700
9.13317621,-2.36220500,3.30708700
9.19717621,-4.72440900,3.22834600
9.26117621,-5.51181100,3.22834600
9.32517621,1.18110200,3.30708700
9.38917621,-4.33070900,3.30708700
9.45317620,-0.39370070,3.30708700
9.51717620,-1.18110200,3.30708700
9.58117620,1.18110200,3.30708700
9.64517620,-6.69291300,3.22834600
9.70917620,2.75590500,3.30708700
9.77317619,-2.75590500,3.30708700
9.83717619,0.39370070,3.30708700
9.90117619,-1.96850400,3.30708700
9.96517619,1.57480300,3.30708700
10.02917619,-1.57480300,3.30708700
10.09317619,-0.39370070,3.30708700
10.15717618,-0.78740150,3.22834600
10.22117618,-3.93700800,3.30708700
10.28517618,-2.75590500,3.30708700
10.34917618,-1.96850400,3.30708700
10.41317618,-2.75590500,3.22834600
10.47717617,-8.26771600,3.30708700
10.54117617,-1.96850400,3.30708700
10.60517617,-6.29921200,3.30708700
10.66917617,-5.11811000,3.30708700
10.73317617,-5.11811000,3.30708700
10.79717617,0.78740150,3.30708700
10.86117616,-6.69291300,3.30708700
10.92517616,1.18110200,3.30708700
10.98917616,-3.14960600,3.30708700
11.05317616,-3.14960600,3.30708700
11.11717616,-6.69291300,3.22834600
11.18117616,0.39370070,3.22834600
11.24517615,-4.72440900,3.22834600
11.30917615,-2.75590500,3.30708700
11.37317615,0.39370070,3.22834600
11.43717615,-1.57480300,3.30708700
11.50117615,-2.36220500,3.30708700
11.56517614,-3.54330700,3.30708700
11.62917614,-1.57480300,3.30708700
11.69317614,-8.66141700,3.30708700
11.75717614,-0.78740150,3.30708700
11.82117614,-3.93700800,3.30708700
11.88517614,-2.36220500,3.30708700
11.94917613,-6.29921200,3.30708700
12.01317613,1.57480300,3.30708700
12.07717613,-5.51181100,3.30708700
12.14117613,-3.54330700,3.30708700
12.20517613,-2.36220500,3.30708700
12.26917612,-2.36220500,3.30708700
12.33317612,-6.29921200,3.30708700
12.39717612,0.00000000,3.30708700
12.46117612,-3.93700800,3.30708700
12.52517612,-6.29921200,3.30708700
12.58917612,0.00000000,3.30708700
12.65317611,-2.36220500,3.30708700
12.71717611,-6.29921200,3.30708700
12.78117611,-3.54330700,3.30708700
12.84517611,0.39370070,3.30708700
12.90917611,-9.84251900,3.30708700
12.97317610,-1.57480300,3.30708700
13.03717610,-6.69291300,3.30708700
13.10117610,-7.87401500,3.22834600
13.16517610,-10.62992000,3.30708700
13.22917610,-3.93700800,3.30708700
13.29317610,-13.38583000,3.30708700
13.35717609,-7.48031400,3.30708700
13.42117609,-5.51181100,3.30708700
13.48517609,-7.08661400,3.30708700
13.54917609,-9.84251900,3.22834600
13.61317609,-5.90551100,3.30708700
13.67717608,-8.26771600,3.22834600
13.74117608,-12.99213000,3.30708700
13.80517608,-4.72440900,3.30708700
13.86917608,-8.66141700,3.30708700
13.93317608,-7.87401500,3.30708700
13.99717608,-7.87401500,3.22834600
14.06117607,-4.33070900,3.30708700
14.12517607,-10.62992000,3.30708700
14.18917607,-5.11811000,3.30708700
14.25317607,-8.66141700,3.30708700
14.31717607,-4.33070900,3.30708700
14.38117606,-9.44881800,3.30708700
14.44517606,-2.75590500,3.30708700
14.50917606,-9.05511800,3.30708700
14.57317606,-5.90551100,3.30708700
14.63717606,-8.26771600,3.30708700
14.70117606,-5.51181100,3.30708700
14.76517605,-9.05511800,3.30708700
14.82917605,-6.29921200,3.30708700
14.89317605,-3.54330700,3.30708700
14.95717605,-7.87401500,3.30708700
15.02117605,-3.93700800,3.30708700
15.08517604,-5.90551100,3.22834600
15.14917604,-5.11811000,3.30708700
15.21317604,-9.05511800,3.30708700
15.27717604,-1.57480300,3.30708700
15.34117604,-9.44881800,3.30708700
15.40517604,-4.33070900,3.30708700
15.46917603,-4.33070900,3.30708700
15.53317603,-5.11811000,3.30708700
15.59717603,-11.02362000,3.30708700
15.66117603,-5.11811000,3.30708700
15.72517603,-10.23622000,3.30708700
15.78917602,-9.84251900,3.30708700
15.85317602,-9.44881800,3.30708700
15.91717602,-9.05511800,3.30708700
15.98117602,-11.81102000,3.30708700
16.04517602,-7.87401500,3.30708700
16.10917602,-7.48031400,3.30708700
16.17317601,-12.59842000,3.30708700
16.23717601,-9.44881800,3.30708700
16.30117601,-9.05511800,3.30708700
16.36517601,-7.87401500,3.30708700
16.42917601,-12.20472000,3.30708700
16.49317600,-2.36220500,3.30708700
16.55717600,-10.23622000,3.22834600
16.62117600,-4.72440900,3.30708700
16.68517600,-6.29921200,3.30708700
16.74917600,-4.33070900,3.30708700
16.81317600,-9.84251900,3.30708700
16.87717599,-1.96850400,3.30708700
16.94117599,-5.90551100,3.30708700
17.00517599,-9.05511800,3.30708700
17.06917599,-4.72440900,3.30708700
17.13317599,-6.29921200,3.30708700
17.19717598,-9.84251900,3.30708700
17.26117598,-8.26771600,3.30708700
17.32517598,-4.72440900,3.30708700
17.38917598,-10.62992000,3.30708700
17.45317598,-3.54330700,3.30708700
17.51717598,-3.93700800,3.30708700
17.58117597,-5.11811000,3.30708700
17.64517597,-8.66141700,3.30708700
17.70917597,-1.18110200,3.30708700
17.77317597,-11.41732000,3.30708700
17.83717597,-5.90551100,3.30708700
17.90117596,-6.69291300,3.30708700
17.96517596,-4.72440900,3.30708700
18.02917596,-8.66141700,3.30708700
18.09317596,-2.36220500,3.30708700
18.15717596,-7.48031400,3.30708700
18.22117596,-9.44881800,3.30708700
18.28517595,-6.69291300,3.30708700
18.34917595,-8.66141700,3.30708700
18.41317595,-8.66141700,3.30708700
18.47717595,-10.62992000,3.30708700
18.54117595,-5.90551100,3.30708700
18.60517595,-12.99213000,3.30708700
18.66917594,-8.66141700,3.30708700
18.73317594,-11.41732000,3.30708700
18.79717594,-6.69291300,3.30708700
18.86117594,-11.41732000,3.22834600
18.92517594,-5.51181100,3.30708700
18.98917593,-7.48031400,3.22834600
19.05317593,-7.08661400,3.30708700
19.11717593,-7.48031400,3.30708700
19.18117593,-2.36220500,3.22834600
19.24517593,-9.84251900,3.30708700
19.30917593,-6.29921200,3.30708700
19.37317592,-3.93700800,3.30708700
19.43717592,-6.69291300,3.30708700
19.50117592,-7.08661400,3.30708700
19.56517592,-3.54330700,3.30708700
19.62917592,-5.90551100,3.30708700
19.69317591,-9.84251900,3.30708700
19.75717591,-0.39370070,3.30708700
19.82117591,-10.23622000,3.30708700
19.88517591,-7.08661400,3.30708700
19.94917591,-6.29921200,3.30708700
20.01317591,-3.14960600,3.30708700
20.07717590,-10.62992000,3.30708700
20.14117590,-1.57480300,3.30708700
20.20517590,-6.29921200,3.30708700
20.26917590,-7.08661400,3.30708700
20.33317590,-6.69291300,3.30708700
20.39717589,-5.51181100,3.30708700
20.46117589,-11.02362000,3.30708700
20.52517589,-6.69291300,3.30708700
20.58917589,-2.75590500,3.30708700
20.65317589,-8.26771600,3.30708700
20.71717589,-6.69291300,3.30708700
20.78117588,-5.51181100,3.30708700
20.84517588,-6.69291300,3.30708700
20.90917588,-9.84251900,3.30708700
20.97317588,-4.33070900,3.30708700
21.03717588,-10.62992000,3.30708700
21.10117587,-7.87401500,3.30708700
21.16517587,-9.05511800,3.22834600
21.22917587,-5.51181100,3.30708700
21.29317587,-14.17323000,3.30708700
21.35717587,-5.51181100,3.30708700
21.42117587,-9.44881800,3.30708700
21.48517586,-7.08661400,3.30708700
21.54917586,-8.26771600,3.30708700
21.61317586,-4.33070900,3.30708700
21.67717586,-7.48031400,3.30708700
