Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,-6.69291300,0.07874016
0.03840000,-4.33070900,3.22834600
0.10240000,-8.66141700,3.22834600
0.16640000,-9.05511800,3.22834600
0.23039999,-6.69291300,3.22834600
0.29439999,-3.14960600,3.22834600
0.35839999,-11.41732000,3.22834600
0.42239999,-4.72440900,3.22834600
0.48639999,-6.69291300,3.22834600
0.55039999,-3.54330700,3.30708700
0.61439998,-8.26771600,3.22834600
0.67839998,0.00000000,3.22834600
0.74239998,-6.69291300,3.22834600
0.80639998,-2.75590500,3.22834600
0.87039998,-3.54330700,3.30708700
0.93439997,-2.75590500,3.22834600
0.99839997,-7.08661400,3.22834600
1.06239997,-2.75590500,3.22834600
1.12639997,-0.78740150,3.22834600
1.19039997,-4.33070900,3.22834600
1.25439997,-0.39370070,3.22834600
1.31839996,-0.39370070,3.22834600
1.38239996,-0.78740150,3.22834600
1.44639996,-6.69291300,3.22834600
1.51039996,0.00000000,3.22834600
1.57439996,-7.48031400,3.22834600
1.63839995,-4.33070900,3.22834600
1.70239995,-2.36220500,3.22834600
1.76639995,0.78740150,3.22834600
1.83039995,-6.69291300,3.22834600
1.89439995,3.14960600,3.22834600
1.95839995,0.39370070,3.22834600
2.02239994,-1.57480300,3.22834600
2.08639994,0.39370070,3.22834600
2.15039994,3.54330700,3.22834600
2.21439994,-3.14960600,3.30708700
2.27839994,1.18110200,3.22834600
2.34239993,3.54330700,3.22834600
2.40639993,-2.75590500,3.22834600
2.47039993,0.00000000,3.30708700
2.53439993,1.96850400,3.30708700
2.59839993,-1.18110200,3.22834600
2.66239993,-4.33070900,3.30708700
2.72639992,3.93700800,3.22834600
2.79039992,-5.51181100,3.30708700
2.85439992,-1.57480300,3.22834600
2.91839992,-3.54330700,3.30708700
2.98239992,0.00000000,3.30708700
3.04639991,-7.87401500,3.22834600
3.11039991,-1.18110200,3.22834600
3.17439991,-5.51181100,3.22834600
3.23839991,-3.93700800,3.22834600
3.30239991,-0.78740150,3.22834600
3.36639991,0.00000000,3.30708700
3.43039990,-2.36220500,3.22834600
3.49439990,-5.51181100,3.22834600
3.55839990,-0.39370070,3.22834600
3.62239990,-4.72440900,3.22834600
3.68639990,-3.93700800,3.22834600
3.75039990,-2.75590500,3.22834600
3.81439989,1.96850400,3.22834600
3.87839989,-3.54330700,3.22834600
3.94239989,1.57480300,3.22834600
4.00639989,-1.57480300,3.30708700
4.07039989,-1.96850400,3.22834600
4.13439988,-7.08661400,3.22834600
4.19839988,0.78740150,3.30708700
4.26239988,-6.69291300,3.22834600
4.32639988,-2.75590500,3.22834600
4.39039988,-0.39370070,3.30708700
4.45439988,-1.57480300,3.30708700
4.51839987,-4.33070900,3.30708700
4.58239987,-1.18110200,3.30708700
4.64639987,-1.96850400,3.22834600
4.71039987,-4.33070900,3.22834600
4.77439987,2.36220500,3.30708700
4.83839986,-1.96850400,3.30708700
4.90239986,-1.96850400,3.30708700
4.96639986,-2.36220500,3.30708700
5.03039986,1.57480300,3.22834600
5.09439986,-6.29921200,3.30708700
5.15839986,0.00000000,3.30708700
5.22239985,-1.96850400,3.30708700
5.28639985,-1.18110200,3.30708700
5.35039985,-3.54330700,3.22834600
5.41439985,0.00000000,3.30708700
5.47839985,-7.08661400,3.22834600
5.54239984,-4.33070900,3.22834600
5.60639984,-3.93700800,3.22834600
5.67039984,-5.11811000,3.30708700
5.73439984,-8.66141700,3.30708700
5.79839984,-4.33070900,3.30708700
5.86239984,-3.54330700,3.30708700
5.92639983,-5.90551100,3.22834600
5.99039983,-1.96850400,3.22834600
6.05439983,-3.54330700,3.22834600
6.11839983,-4.33070900,3.22834600
6.18239983,-6.69291300,3.30708700
6.24639982,-0.78740150,3.22834600
6.31039982,-8.66141700,3.30708700
6.37439982,-1.18110200,3.30708700
6.43839982,-1.57480300,3.30708700
6.50239982,0.00000000,3.30708700
6.56639982,-5.51181100,3.30708700
6.63039981,0.78740150,3.30708700
6.69439981,-3.93700800,3.22834600
6.75839981,-5.51181100,3.30708700
6.82239981,-2.36220500,3.30708700
6.88639981,-3.93700800,3.30708700
6.95039980,-4.33070900,3.30708700
7.01439980,-2.36220500,3.30708700
7.07839980,-2.36220500,3.30708700
7.14239980,-6.69291300,3.22834600
7.20639980,-2.36220500,3.30708700
7.27039980,-3.54330700,3.30708700
7.33439979,-0.39370070,3.30708700
7.39839979,-3.93700800,3.30708700
7.46239979,2.75590500,3.30708700
7.52639979,-3.93700800,3.30708700
7.59039979,0.00000000,3.30708700
7.65439978,-3.93700800,3.30708700
7.71839978,-0.39370070,3.30708700
7.78239978,-5.51181100,3.30708700
7.84639978,0.39370070,3.30708700
7.91039978,-0.39370070,3.30708700
7.97439978,-2.75590500,3.30708700
8.03839977,-2.36220500,3.30708700
8.10239977,-2.36220500,3.30708700
8.16639977,-4.33070900,3.30708700
8.23039977,-8.66141700,3.30708700
8.29439977,-1.18110200,3.30708700
8.35839976,-8.66141700,3.30708700
8.42239976,-6.29921200,3.30708700
8.48639976,-4.33070900,3.30708700
8.55039976,-1.57480300,3.30708700
8.61439976,-8.66141700,3.30708700
8.67839976,0.78740150,3.30708700
8.74239975,-5.90551100,3.22834600
8.80639975,-6.69291300,3.30708700
8.87039975,-5.90551100,3.30708700
8.93439975,-0.78740150,3.30708700
8.99839975,-7.87401500,3.30708700
9.06239974,-1.57480300,3.30708700
9.12639974,-0.39370070,3.22834600
9.19039974,-5.11811000,3.30708700
9.25439974,-1.96850400,3.30708700
9.31839974,0.00000000,3.30708700
9.38239974,-1.96850400,3.30708700
9.44639973,-3.93700800,3.30708700
9.51039973,3.93700800,3.30708700
9.57439973,-4.72440900,3.30708700
9.63839973,-0.78740150,3.30708700
9.70239973,-2.75590500,3.30708700
9.76639972,0.00000000,3.30708700
9.83039972,-5.90551100,3.30708700
9.89439972,1.96850400,3.30708700
9.95839972,-1.18110200,3.30708700
10.02239972,0.78740150,3.30708700
10.08639972,0.39370070,3.30708700
10.15039971,2.36220500,3.30708700
10.21439971,-1.18110200,3.30708700
10.27839971,-2.75590500,3.30708700
10.34239971,1.18110200,3.30708700
10.40639971,-1.96850400,3.30708700
10.47039970,-1.96850400,3.30708700
10.53439970,-0.78740150,3.30708700
10.59839970,2.36220500,3.30708700
10.66239970,-4.72440900,3.30708700
10.72639970,1.18110200,3.30708700
10.79039970,-3.93700800,3.30708700
10.85439969,-4.33070900,3.30708700
10.91839969,-6.29921200,3.30708700
10.98239969,1.57480300,3.30708700
11.04639969,-7.87401500,3.30708700
11.11039969,-2.75590500,3.30708700
11.17439969,-1.18110200,3.30708700
11.23839968,-4.33070900,3.30708700
11.30239968,-6.69291300,3.30708700
11.36639968,-1.57480300,3.22834600
11.43039968,-2.36220500,3.22834600
11.49439968,-8.66141700,3.30708700
11.55839967,0.00000000,3.30708700
11.62239967,-3.93700800,3.30708700
11.68639967,-3.93700800,3.30708700
11.75039967,-4.33070900,3.30708700
11.81439967,1.18110200,3.30708700
11.87839967,-7.87401500,3.30708700
11.94239966,-1.96850400,3.30708700
12.00639966,-1.57480300,3.30708700
12.07039966,-1.18110200,3.30708700
12.13439966,-5.11811000,3.30708700
12.19839966,0.39370070,3.30708700
12.26239965,-4.72440900,3.30708700
12.32639965,-5.51181100,3.30708700
12.39039965,-3.54330700,3.30708700
12.45439965,-3.54330700,3.30708700
12.51839965,-5.90551100,3.30708700
12.58239965,-1.57480300,3.30708700
12.64639964,1.96850400,3.30708700
12.71039964,-5.51181100,3.30708700
12.77439964,0.00000000,3.30708700
12.83839964,-1.96850400,3.22834600
12.90239964,-3.14960600,3.30708700
12.96639963,-6.69291300,3.30708700
13.03039963,0.78740150,3.22834600
13.09439963,-7.87401500,3.30708700
13.15839963,-1.57480300,3.30708700
13.22239963,-2.75590500,3.30708700
13.28639963,-3.54330700,3.30708700
13.35039962,-9.44881800,3.30708700
13.41439962,-3.14960600,3.30708700
13.47839962,-7.48031400,3.30708700
13.54239962,-10.23622000,3.30708700
13.60639962,-5.90551100,3.30708700
13.67039961,-7.87401500,3.30708700
13.73439961,-8.26771600,3.30708700
13.79839961,-9.44881800,3.30708700
13.86239961,-8.26771600,3.30708700
13.92639961,-11.81102000,3.30708700
13.99039961,-8.26771600,3.30708700
14.05439960,-9.05511800,3.30708700
14.11839960,-5.11811000,3.30708700
14.18239960,-9.84251900,3.30708700
14.24639960,-3.14960600,3.30708700
14.31039960,-6.69291300,3.30708700
14.37439959,-5.90551100,3.30708700
14.43839959,-8.66141700,3.22834600
14.50239959,-3.14960600,3.22834600
14.56639959,-8.66141700,3.30708700
14.63039959,-4.72440900,3.30708700
14.69439959,-2.75590500,3.30708700
14.75839958,-6.69291300,3.30708700
14.82239958,-7.48031400,3.30708700
14.88639958,-5.90551100,3.30708700
14.95039958,-5.90551100,3.30708700
15.01439958,-11.41732000,3.30708700
15.07839957,-2.36220500,3.30708700
15.14239957,-7.08661400,3.30708700
15.20639957,-5.11811000,3.30708700
15.27039957,-5.51181100,3.30708700
15.33439957,-1.57480300,3.30708700
15.39839957,-9.84251900,3.30708700
15.46239956,-1.57480300,3.30708700
15.52639956,-5.11811000,3.30708700
15.59039956,-7.48031400,3.30708700
15.65439956,-5.51181100,3.30708700
15.71839956,-2.36220500,3.30708700
15.78239955,-8.26771600,3.30708700
15.84639955,-4.33070900,3.30708700
15.91039955,-3.54330700,3.30708700
15.97439955,-7.48031400,3.30708700
16.03839955,-6.69291300,3.30708700
16.10239955,-6.29921200,3.30708700
16.16639954,-7.48031400,3.30708700
16.23039954,-10.62992000,3.30708700
16.29439954,-4.33070900,3.30708700
16.35839954,-11.41732000,3.30708700
16.42239954,-7.48031400,3.30708700
16.48639953,-9.44881800,3.30708700
16.55039953,-4.33070900,3.30708700
16.61439953,-10.62992000,3.30708700
16.67839953,-5.51181100,3.30708700
16.74239953,-5.51181100,3.30708700
16.80639953,-6.29921200,3.22834600
16.87039952,-6.29921200,3.30708700
16.93439952,-5.90551100,3.22834600
16.99839952,-7.48031400,3.30708700
17.06239952,-10.62992000,3.22834600
17.12639952,-3.93700800,3.22834600
17.19039951,-6.69291300,3.30708700
17.25439951,-5.51181100,3.22834600
17.31839951,-5.11811000,3.30708700
17.38239951,-1.57480300,3.30708700
17.44639951,-8.66141700,3.30708700
17.51039951,-3.93700800,3.30708700
17.57439950,-7.48031400,3.30708700
17.63839950,-6.69291300,3.30708700
17.70239950,-8.66141700,3.30708700
17.76639950,-2.75590500,3.30708700
17.83039950,-9.44881800,3.30708700
17.89439949,-5.51181100,3.30708700
17.95839949,-5.51181100,3.30708700
18.02239949,-5.90551100,3.30708700
18.08639949,-8.66141700,3.30708700
18.15039949,-4.72440900,3.30708700
18.21439949,-3.54330700,3.30708700
18.27839948,-7.87401500,3.30708700
18.34239948,-2.36220500,3.30708700
18.40639948,-6.69291300,3.30708700
18.47039948,-5.11811000,3.30708700
18.53439948,-8.26771600,3.30708700
18.59839948,-2.36220500,3.30708700
18.66239947,-10.23622000,3.30708700
18.72639947,-5.11811000,3.30708700
18.79039947,-5.51181100,3.30708700
18.85439947,-5.11811000,3.30708700
18.91839947,-10.62992000,3.30708700
18.98239946,-4.33070900,3.30708700
19.04639946,-7.08661400,3.30708700
19.11039946,-9.44881800,3.30708700
19.17439946,-6.69291300,3.30708700
19.23839946,-4.72440900,3.30708700
19.30239946,-10.62992000,3.30708700
19.36639945,-5.90551100,3.30708700
19.43039945,-3.93700800,3.30708700
19.49439945,-11.02362000,3.30708700
19.55839945,-7.08661400,3.30708700
19.62239945,-4.33070900,3.30708700
19.68639944,-6.29921200,3.22834600
19.75039944,-10.62992000,3.22834600
19.81439944,1.57480300,3.30708700
19.87839944,-6.69291300,3.30708700
19.94239944,-4.72440900,3.30708700
20.00639944,-3.54330700,3.30708700
20.07039943,-3.93700800,3.30708700
20.13439943,-9.84251900,3.22834600
20.19839943,-2.75590500,3.30708700
20.26239943,-5.90551100,3.30708700
20.32639943,-9.05511800,3.30708700
20.39039942,-4.33070900,3.30708700
20.45439942,-7.08661400,3.30708700
20.51839942,-6.69291300,3.30708700
20.58239942,-8.26771600,3.30708700
20.64639942,-4.72440900,3.30708700
20.71039942,-8.66141700,3.30708700
20.77439941,-4.72440900,3.30708700
20.83839941,-5.11811000,3.30708700
20.90239941,-2.36220500,3.30708700
20.96639941,-8.26771600,3.30708700
21.03039941,-2.75590500,3.30708700
21.09439940,-7.08661400,3.30708700
21.15839940,-6.69291300,3.30708700
21.22239940,-8.26771600,3.30708700
21.28639940,-0.78740150,3.30708700
21.35039940,-5.51181100,3.30708700
21.41439940,-3.93700800,3.30708700
21.47839939,-2.36220500,3.30708700
21.54239939,-6.29921200,3.30708700
21.60639939,-8.26771600,3.30708700
21.67039939,-6.29921200,3.30708700
21.73439939,-6.29921200,3.30708700
